,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
321,Não identificado,Artes Visuais > Pintura||02 Artes Visuais/Cinematográfica > 02.6 Pintura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"No centro figura representando Santa Agatha com espada trespassando os seios. À direita 03 anjos, um dos quais, segura panejamento vermelho.",Não identificada,02.06.01||52.018/030.029,Quadro||Suplício de Santa Ágatha
322,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Pia de Água Benta, talhada em pedra sabão, com rebordos ondulados, formato circular, com suporte para fixar na parede. No interior entalhado uma flor.",Igreja de Nossa Senhora do Carmo,04.04.03||52.017/030.028,Pia Ritual||Pia de água benta
323,Brasil > Goiás,Interiores > Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Cincinato da Mota Pedreira,1952||Século XIX,"Mesa em pedra sabão com tampo redondo, apoiado por uma coluna. Base redonda, no tampo uma coroa com três pontas.",Palácio Conde dos Arcos,05.05.03||52.016/030.027,Mesa||Mesa de Jardim
324,Brasil > Goiás > Município de Goiás,Interiores > Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1952||Século XIX,"Faces laterais com recorte em curva formando os braços e recebendo o encosto também com recortes na parte superior. Assento fixo encaixado nas faces laterais, no centro local onde se colocava o fecho central.",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.05.02||52.015/030.026,Banco-Arca||Banco-Arca
325,Brasil > Goiás,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Crucifixo de madeira, com imagem de Cristo. Corpo em pé, de frente, posição de crucificação. Cabeça pendida, inclinada a direita. Cabelos meio longo e lisos. Pescoço curto, atarracado. Barba curta, pintada. Olhos abertos para baixo, pintados. Nariz aquilino. Braços de encaixe levantados par cima. Pernas flexionadas, pé direito sobre o esquerdo. Pintado de branco, cabelos e barba pretos. Marcas vermelhas imitando manchas de sangue. Perisônio com frisos dourados. Cristo: altura 25, largura 19.",Não identificada,02.03.02||52.014/030.025,Crucifixo
326,Não identificado,Artes Visuais > Escultura Religiosa||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,1953||Século XVIII,"Corpo em pé, posição frontal. Cabeça erguida, meio inclinada a direita. Olhos abertos, boca fechada, nariz achatado, fisionomia triste, queixo em bola. Perna esquerda apoiada. Cabelo curto, ondulado. Pescoço curto, atarracado. Braço direito estendido a frente. Túnica longa, manto ¾ e véu curto.",Não identificada,02.03.01||52.013/030.024,Santa||Nossa Senhora da Conceição
327,Brasil > Goiás > Município de Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Forma triangular, entalhado com cartela decorada por elementos florais.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.02||52.012/030.023,Fragmento||Fragmento do altar de Ouro Fino
328,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,23/08/1953||Século XVIII,"Mesa de tampo redondo sobre caixa quadrada. Quatro pernas torneadas, sustentadas por 02 traves torneadas. Pés torneados, ovais.",José de Castro Berquó,05.05.01||52.011/030.022,Mesa||Mesa
329,Não identificado,Comunicação > Documento||10 Comunicação > 10.1 Documento||Acervo Museológico||Religioso,Não identificado,1952||Século XIX > 1881,"Forma retangular, capa cor preta com margens horizontais e verticais duplas em linhas douradas. Trás no centro da capa uma cruz em linhas douradas. Com capa de couro filetado a ouro.",Adélia Ludovico Galvão,10.1.01||52.010/030.021,Missal||Missal Romano
330,Brasil > Goiás,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico,Não identificado,1952||Século XVIII,"Peça de ferro, formato triangular nas 02 faces laterais, base retangular para fixar no chão.",Cônego J. Trindade,06.03.01||52.009/030.020,Bigorna||Bigorna de ferro
331,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Pia ritual. Negro portador de vaso, em cedro, em 02 secções, base representando figura de negro de pé, posição frontal, cabelos entalhados curtos ondulados, olhos abertos, nariz achatado, boca fechada, braços flexionados para cima, mãos sobre a cabeça, pernas com joelhos flexionados, pés com pequeno afastamento em diagonal. Busto nu com tanga. Sobre a cabeça pia com entalhe formando caneluras, 02 com folhas de acanto, 02 com folha de acanto encimado por cabeça humana. Borda circular, peanha retangular com ângulos batidos.",Igreja Santa Efigênia,04.04.01||52.008/030.019,Pia Ritual||Pia Batismal
332,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII > 1775,"Quinteiro de bronze, com tampo, alça e fecho articulados. Tampo ornamentado com relevos em conchoides e cartelas; apresenta na parte superior as armas reais e na inferior a data 1775. As mesmas armas se repetem na alça, no fecho e no remate da articulação, todos de recorte.",Casa de Fundição de Vila Boa,14.1.10||52.007/030.018,Quinteiro||Medida para ouro
333,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Base octogonal com frisos. Haste em coluna, em forma de vaso. Sucena cilíndrica.",Igreja de Nossa Senhora do Pilar de Ouro Fino,05.04.08||52.006/030.017,Luminária||Castiçal
334,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Castiçal de madeira entalhada. Base quadrangular com 04 pés, 03 com volutas pintadas de verde e vermelho e 01 simples. Haste torneada com folhas de acanto e disco. Campânula simples com vela encaixando diretamente. Castiçal de canto com a parte traseira lisa.",Não identificada,05.04.07||52.005/030.016,Luminária||Castiçal
335,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Base circular com frisos. Haste torneada em discos e vaso. Campânula circular com frisos. Sucena redonda.,Não identificada,05.04.05||52.004/030.014,Luminária||Castiçal
336,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Base circular com frisos. Haste torneada em discos e vaso. Campânula circular com frisos. Sucena redonda.,Não identificada,05.04.06||52.004.I/030.015,Luminária||Castiçal
337,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Base triangular com motivos entalhados. Na base volutas e florões. Na parte superior, torneado e arrematado com campânula. Sucena torneada.",Não identificada,05.04.03||52.003/030.012,Luminária||Castiçal
338,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Base triangular com motivos entalhados. Na base volutas e florões. Na parte superior, torneado e arrematado com campânula. Sucena torneada.",Não identificada,05.04.04||52.003.I/030.013,Luminária||Castiçal
339,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Base circular com frisos e bolacha. Haste torneada em coluna. Campânula circular com friso. Sucena torneada.,Não identificada,05.04.01||52.002/030.010,Luminária||Castiçal
340,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,Base circular com frisos. Haste torneada em discos e vaso. Campânula circular com frisos. Sucena redonda.,Não identificada,05.04.02||52.002.I/030.011,Luminária||Castiçal
341,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.01||52.001/030.001,Peso||Peso Monetário
342,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.09||52.001.VIII/030.009,Peso||Peso Monetário
343,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.08||52.001.VII/030.008,Peso||Peso Monetário
344,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,"Cone truncado com frisos incisos no interior, com pegador retangular. Na imagem é o 1º à esquerda.",Casa de Fundição de Vila Boa,14.1.07||52.001.VI/030.007,Peso||Peso Monetário
345,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.06||52.001.V/030.006,Peso||Peso Monetário
346,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.05||52.001.IV/030.005,Peso||Peso Monetário
347,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.04||52.001.III/030.004,Peso||Peso Monetário
348,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.03||52.001.II/030.003,Peso||Peso Monetário
349,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Mineração,Não identificado,1952||Século XVIII,Cone truncado com frisos incisos no interior.,Casa de Fundição de Vila Boa,14.1.02||52.001.I/030.002,Peso||Peso Monetário
