Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
História - rio grande do sul  Jesuítas - missões;;"80 p. ; 25cm";Marchiori, José Newton Cardoso;;;981.65  S391u  IPHAN-RJ;Porto Alegre : Iphan, 2008.;;"O uso da madeira nas reduções Jesuítico-Guarani do Rio Grande do Sul / Maria Cristina Schulze-Hofer; José Newton Cardoso Marchiori";IPHAN-RJ(259);;Schulze-Hofer, Maria Cristina;;;;;;;;;;;;;;;;;;
Rio de janeiro  Habitação  Vassouras (rj)  Urbanismo  Arquitetura habitacional;;130  p.  25cm.;;;Separata da Revista do Patrimônio Histórico e Artístico Nacional - vol. 16 - 1968;720.981532  T274v  IPHAN-RJ  728.098153  T274v  IPHAN-PR;Rio de Janeiro : Iphan, 1968.;;Vassouras : estudo da construção residencial urbana / Augusto Carlos da Silva Telles;IPHAN-RJ(259);;Telles, Augusto Carlos da Silva;;;;;;;;;;;;;;;;;;
Educação patrimonial  Bens culturais - brasil - preservação  Domingos, cruz linheiro  Duarte jr., romeu;;36  p.  18;;;;V627  IPHAN-RJ;Fortaleza : Iphan, 2004.;;Viçosa do Ceará : patrimônio de todos : roteiro para a preservação do Patrimônio Cultural  Olga Gomes de Paiva, coordenadora, Domingos Cruz Linheiro, Romeu Duarte Jr;IPHAN-RJ(259);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;IPHAN-RJ(259);;;;;;;;;;;;;;2007  [s.n.];Revista de história da Biblioteca Nacional   (BR-BrIPH) 23788;Vigor aos 70 : Iphan atinge a maturidade ao ampliar a compreensão de patrimônio para os valores culturais, sem abandonar os ideais da conservação material /;Côrtes, Celina;;;
Patrimônio imaterial  Índios wajãpi  Índios da américa do sul - amapá - arte  Patrimônio cultural - proteção - amapá;;133 p.  26cm;Gallois, Dominique T.  Dominique Tilkin;Dossiê Iphan;Acompanhado de CD-ROM em bolso.  Bibliografia: p. 124-132.;704.0398  W145  IPHAN-RJ;Brasília : Iphan, 2006.;(Dossiê Iphan  2);Wajãpi : expressão gráfica e oralidade entre os Wajãpi do Amapá  [pesquisa e textos, Dominique Tilkin Gallois];IPHAN-RJ(259);;;ISBN 8573340258;;;;;;;;;;;;;;;;;
Proteção  Patrimônio cultural;;il.  15 cm.;Brasil. Instituto do Patrimônio Histórico e Artístico Nacional;;;363.69  P953  IPHAN-SC;Recife : Iphan, 2011.;;1º Encontro de Plano Integrado de Salvaguarda do Frevo;IPHAN-SC(408);;Encontro de Plano Integrado de Salvaguarda do Frevo;;;;;;;;;;;;;;;;;;
Bahia.  Brasil -  Artesanato  Cerâmica;;"35  p : il. ; 15 cm";Lima, Lívia Ribeiro.;(Sala do Artista Popular;Catálogo etnográfico lançado durante a exposição realizada no período de 30 de junho a 7 de agosto de 2011.;069.0981  S159  169  IPHAN-SC;Rio de Janeiro : CNFCP, Rio de Janeiro : IPHAN, 2011.;"(Sala do Artista Popular ; 169)";A céu aberto : a louça de Coqueiros / pesquisa e texto de Lívia Ribeiro Lima;IPHAN-SC(408);;;;;;ISSN 14143755 (broch.);;;;;;;;;;;;;;
Brasil -  Artesanato  Museus  Brasil.;;"44  p. : il. ; 15 cm. -";Museu de Folclore Edison Carneiro.  Pimentel, Alexandre.;(Sala do Artista Popular;Catálogo da exposição realizada no período de 14 de outubro a 19 de dezembro de 2010.;069.0981  S159  Extrassérie  IPHAN-SC;Rio de Janeiro : IPHAN, Rio de Janeiro : CFCP, 2010.;"(Sala do Artista Popular ; Extrassérie)";A confecção de instrumentos musicais no fandango de caiçara : pesquisa e texto de Alexandre Pimentel;IPHAN-SC(408);;;;;;;;;;;;;;;;;;;;
Brasil  Museus  Artesanato  Brasil.;;"36  p. : il. ; 15 cm. -";Lima, Lívia Ribeiro.  Museu de Folclore Edison Carneiro.;(Sala do Artista Popular;Catálogo da exposição realizada no período de 01 de março a 10 de abril de 2011.;069.0981  S159  166  IPHAN-SC;Rio de Janeiro : CNFCP, Rio de Janeiro : IPHAN, 2011.;"(Sala do Artista Popular ; 166)";A ferro e fogo : arte na Paraíba / organização de Lívia Ribeiro Lima;IPHAN-SC(408);;;;;;ISSN 14143755 (broch.);;;;;;;;;;;;;;
História  Mato Grosso do Sul  Educação patrimonial;;"43  p. : il. ; 21 cm.";;;;363.69098171  A168  IPHAN-SC  IPHAN-PR;Campo Grande : Iphan, 2011.;;Ação de educação patrimonial : complexo ferroviário Campo Grande - MS / [IPHAN]. -;IPHAN-SC(408);Imagem;;;;;;;;;;;;;;;;;;;
Jardins botânicos - brasil  Botânica - rio de janeiro (estado);;26  p. : il. color.  21 cm;Azevedo, Igor Henrique Freitas  Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Mourão, Simone Nascimento;;;581.08  A173  2015  IPHAN-SC;Rio de Janeiro : Iphan, 2015.;;O acervo botânico do Sítio Roberto Burle Marx  Pesquisa Igor Henrique Freitas Azevedo;IPHAN-SC(408);;;;;;;;;;;;;;;;;;;;
Brasil -  Brasil.  Museus  Artesanato;;"27  p. : il. ; 15 cm. -";Lima, Ricardo Gomes.  Museu de Folclore Edison Carneiro.;(Sala do Artista Popular;Catálogo da exposição realizada no período de 08 de julho a 12 de setembro de 2004.;069.0981  S159  119  IPHAN-SC;Rio de Janeiro : CNFCP, Rio de Janeiro : IPHAN, 2004.;"(Sala do Artista Popular ; 119)";Alagoas rendeira : pesquisa e texto de Ricardo Gomes Lima. -;IPHAN-SC(408);;;;;;ISSN 14143755 (broch.);;;;;;;;;;;;;;
Arquitetura brasileira;;87  p. : il.  20 cm.;;;;720.981  A347  IPHAN-SC;São Luís : Iphan, 2009.;;Alcântara : cidade monumento;IPHAN-SC(408);;;;;;;;;;;;;;;;;;;;
Brasil.  História.  São fidelis (rj)  São fidelis (rj) -  Jesuítas -  Arte barroca  Arquitetura jesuítica;;143 p. : il.  21cm. -;Instituto do Patrimônio Histórico e Artístico;(Ensaios;;709.81  B277a  IPHAN-SC;[Rio de Janeiro] : Iphan, 1995.;(Ensaios  3);Aldeamento de São Fidelis : o sentido do espaço na iconografia / Clara Emilia Monteiro de Barros. -;IPHAN-SC(408);Imagem;Barros, Clara Emilia Monteiro de;ISBN 8573340010 (broch.);;;;;;;;;;;;;;;;;
Congonhas (mg)  Arte barroca  Aleijadinho,  Guias.  Santuário do bom jesus de matosinhos (congonhas, mg);;133 p. : il. (algumas col.)  22cm. -;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Programa Monumenta (Brasil);(Roteiros do patrimônio);Texto em português com tradução em inglês.;730.98151  O48a  IPHAN-SC;Rio de Janeiro : IPHAN, Rio de Janeiro : Monumenta, 2006.;(Roteiros do patrimônio);O Aleijadinho e o Santuário de Congonhas = : Aleijadinho and the Congonhas Sanctuary / Myriam Andrade Ribeiro de Oliveira. -;IPHAN-SC(408);;Oliveira, Myriam Andrade Ribeiro de,   1943-;ISBN 9788573340365 (broch.)  ISBN 8573340363 (broch.);;Aleijadinho and the Congonhas Sanctuary.;;;;;;;;;;;;;;;
Brasil  Folclore  Cultura popular  Santarém (PA)  Usos e costumes;;[102]  p. : il. color.  21 cm;Maduro, Lélia Almeida;;Páginas de 54 a [104] invertidas.;306.4098115  A445  IPHAN-SC;Rio de Janeiro : CNFCP : IPHAN, 2011.;;Almanaque Pitinga  Lélia Almeida Maduro, organizadora. -;IPHAN-SC(408);;;ISBN 9788573342031;;;;;;;;;;;;;;;;;
Educação patrimonial  Proteção  Patrimônio cultural  São miguel das missões (rs);;15  p. : il.  21 cm.;;;;363.69098165  A516  IPHAN-SC;Porto Alegre : Iphan, [2008].;;Amigos do patrimônio : investigando São Miguel das Missões;IPHAN-SC(408);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Arquitetura  Proteção -  Inventários;;64  p.  26 cm.;Instituto do Patrimônio Histórico e Artístico Nacional -IPHAN.;;;363.69  A532  IPHAN-SC;Brasília : 14ª SR/IPHAN, 1999.;;Anais da 1ª reunião : documento síntese  14ª Superintendência Regional/IPHAN. -;IPHAN-SC(408);;Fórum de Cidades Tombadas do Centro-Oeste.   12 a 15 de julho de 1999.;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Proteção;;578  p. : il.  23 cm.;;(Patrimônio: Práticas e Reflexôes,;;363.69  A532  IPHAN-SC;Rio de Janeiro : IPHAN/DAC/Copedoc, 2010.;(Patrimônio: Práticas e Reflexôes,  4);Anais da II Oficina de Pesquisa : metodologia de pesquisa e multidisciplinaridade no IPHAN /;IPHAN-SC(408);;Oficina de Pesquisa (2 : 2008),   01 a 05 de setembro de 2008.;ISBN 9788573341638 (broch.);;;;;;;;;;;;;;;;;
Patrimônio cultural  Proteção;;213  p. : il.  23 cm.;;(Patrimônio: Práticas e Reflexôes,;;363.69  A532  IPHAN-SC;Rio de Janeiro : IPHAN/DAC/Copedoc, 2010.;(Patrimônio: Práticas e Reflexôes,  5);Anais da III Oficina de Pesquisa : a questão do Nacional no IPHAN /;IPHAN-SC(408);;Oficina de Pesquisa (3 : 2010),   09 a 13 de novembro de 2009.;ISBN 9788573341638 (broch.);;;;;;;;;;;;;;;;;
Patrimônio cultural  Proteção;;[383]  p. : il.  26 cm.;;;;363.692  A532  n.26  IPHAN-SC;Rio de Janeiro : Iphan, 1973.;;Anais do II Encontro de Governadores  IPHAN. -;IPHAN-SC(408);;Encontro de Governadores   2 : 1973),;;;;;Conteúdo incompleto : Inclui bibliografia.;;;;;;;;;;;;;
Anchieta (es)  Jesuítas  Espírito santo (estado)  Antiguidades.  História.  Arquitetura de igrejas  Igreja de nossa senhora da assunção (anchieta, es)  Arquitetura  Arte sacra  Conservação e restauração;;188  p. : il.  24 cm.;;;;726.5098152  A539  IPHAN-SC;Rio de Janeiro : Iphan, 1998.;;Anchieta : a restauração de um santuário  6. Coordenação Regional/IPHAN. -;IPHAN-SC(408);Imagem;;;;;;;;;;;;;;;;;;;
Aspectos sociais  Aspectos políticos  Arqueologia  Arqueologia e história  Brasil.  Proteção  Patrimônio cultural;;208 p. : il.  23cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;;930.1  B327u  IPHAN-SC;São Paulo : IPHAN, Superintendência Regional, 2010.;;Uma arqueologia dos desaparecidos : identidades vulneráveis e memórias partidas / Rossano Lopes Bastos. -;IPHAN-SC(408);;Bastos, Rossano Lopes;ISBN 9788573341430 (broch.);;;;;;;;;;;;;;;;;
Manuais, guias, etc.  Arqueologia  Proteção  Arqueologia e história  Patrimônio cultural;;83  p. : il.  24 cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Monumenta (programa);;;930.1  N162a  IPHAN-SC;Brasília : Iphan, 2005.;;Arqueologia histórica : manual / Rosana Najjar. -;IPHAN-SC(408);Imagem;Najjar, Rosana,;;;;;;;;;;;;;;;;;;
Arqueologia  Proteção  Iphan  Patrimônio cultural  Brasil  Aspectos sociais;;163  p.  23 cm.;Bruhns, Katianne.  Teixeira, Adriana.;;;930.1  B327a  IPHAN-SC;Erechim, RS : Habilis, 2007.;;A arqueologia na ótica institucional : IPHAN, contrato e sociedade / Rossano Lopes Bastos, Katianne Bruhns, Adriana Teixeira. -;IPHAN-SC(408);Imagem;Bastos, Rossano Lopes;;;;;;;;;;;;;;;;;;
História  Arqueologia  Bahia.;;294  p. : il.  23 cm.;;;;930.1  A723  IPHAN-SC;Brasília : Programa Monumenta, Brasília : Iphan, 2010.;;Arqueologia no Pelourinho  Programa Monumena, IPHAN. -;IPHAN-SC(408);;;ISBN 9788573341768 (broch.);;;;;;;;;;;;;;;;;
Patrimônio cultural  Arqueologia.  Pinturas rupestres  Salvamento arqueologico  Proteção;;306 p.  23cm.;Brasilia,  Souza, Marise Campos de.;;Textos em português, espanhol, francês e inglês.;930.1  S729a  IPHAN-SC;São Paulo : IPHAN. Superintendência Regional, 2010.;;Arqueologia preventiva : gestão e mediação de conflitos : estudos comparativos  organização, Marise Campos de Souza. -;IPHAN-SC(408);;;ISBN 9788573341416 (broch.);;;;;;;;;;;;;;;;;
Arte sacra  Arte barroca  Arquitetura colonial  Arquitetura de igrejas;;"253  p. : il. (algumas col.) ; 26 cm";Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Oliveira, Myriam Andrade Ribeiro de,  1943-  Programa Monumenta (Brasil);;Texto em português com tradução em inglês.;720.981  B975a  IPHAN-SC  720.981  B975a  IPHAN-ES;Rio de Janeiro : IPHAN, Rio de Janeiro : Monumenta, 2006.;;"Arquitetura e arte no Brasil colonial / John Bury ; organização Myriam Andrade Ribeiro de Oliveira. -";IPHAN-SC(408);Imagem;Bury, John,   1917-;ISBN 8573340347 (broch.)  ISBN 9788573340341 (broch.);;;;;;;;;;;;;;;;;
Séc. xx.  Brasil  Arquitetura  Arquitetura moderna  História;;286  p. : il.  31 cm.;Cavalcanti, Lauro,  1954-  Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);;Tradução de: Modern architeture in Brazil.;720.981  M663a  [2. ed.] -  IPHAN-SC;Rio de Janeiro : Iphan, Rio de Janeiro : Aeroplano, 2000.;;"Arquitetura moderna no Brasil / Henrique E. Mindlin ; prefácio de S. Giedion ; organizador da edição brasileira Lauro Cavalcanti ; tradução de Paulo Pedreira. -";IPHAN-SC(408);Imagem;Mindlin, Henrique,   1911-1971.;ISBN 858657905X (enc.);[2. ed.] -;;;;;[Modern architeture in Brazil.  por];;;;;;;;;;;
Arquitetura  Brasil  História  Conservação e restauração;;367  p. : il.  30 cm.;Bicca, Briane. Bicca, Paulo.;;;720  A723  IPHAN-SC;Brasília : UNESCO, Brasília : Iphan, 2008.;;Arquitetura na formação do Brasil  organizado por Briane Elisabeth Panitz Bicca e Paulo Renato Silveira Bicca. -;IPHAN-SC(408);Imagem;;ISBN 9788576520801 (broch.);;;;;;;;;;;;;;;;;
Decoração e ornamento das igrejas  Rio de janeiro (rj)  Arquitetura de igrejas  Arquitetura colonial portuguesa;;269 p. : il. (algumas col.)  28cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Rio de Janeiro (RJ).;;Publicado em co-edição com a Prefeitura da Cidade do Rio de Janeiro.  Parte do subtítulo retirado da capa.;726.5098153  A475a  v.1  IPHAN-SC;Rio de Janeiro : Iphan, Rio de Janeiro : Ed. da UFRJ, 1997.;;Arquitetura religiosa colonial no Rio de Janeiro, : volume 1 : revestimentos, retábulos e talha / Sandra Alvim. -;IPHAN-SC(408);Imagem;Alvim, Sandra,  1951-;ISBN 857334007x (broch.);;;;;;;;;;;;;;;;;
Rio de janeiro (rj)  Arquitetura colonial portuguesa  Arquitetura de igrejas  Decoração e ornamento das igrejas;;356  p. : il. (algumas col.)  28 cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Rio de Janeiro (RJ).;;Publicado em co-edição com a Prefeitura da Cidade do Rio de Janeiro.;726.5098153  A475a  v.2  IPHAN-SC;Rio de Janeiro : Iphan, Rio de Janeiro : Ed. da UFRJ, 1999.;;Arquitetura religiosa colonial no Rio de Janeiro, : volume 2 : plantas, fachadas e volumes / Sandra Alvim. -;IPHAN-SC(408);Imagem;Alvim, Sandra,  1951-;ISBN 8571082162 (broch.);;;;;;;;;;;;;;;;;
Belém (PA)  Arte nouveau (arquitetura)  Arte nouveau;;155  p. : il.  22 cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Programa Monumenta (Brasil);(Roteiros do patrimônio);Texto em português com tradução paralela em inglês.;709.8115  B317a  IPHAN-SC;Brasília : Monumenta, Brasília : IPHAN, 2008.;(Roteiros do patrimônio);Art nouveau em Belém = : art nouveau in Belém / Célia Coelho Bassalo. -;IPHAN-SC(408);Imagem;Bassalo, Celia Coelho;;;Art nouveau in Belém.;;;;;;;;;;;;;;;
;;145  p. : il. col.  24 cm;Costa, Maria Elisabeth de Andrade  org.  Costa, Maria Elisabeth de Andrade  Pesquisador  Figueiredo, Wilmara, 1981-  org.  Gaio, Carolina  Pesquisador  Porto, Maria Beatriz  Pesquisador  Zanelatto, Carolina  Fotógrafo;;;745.098164  A786  IPHAN-SC;Rio de Janeiro : IPHAN : CNFCP, 2014.;;"A arte eslava de Itaiópolis  organização Maria Elizabeth Costa, Wilmara Figueiredo; pesquisa e texto Carolina Gaio, Maria Beatriz Porto; fotografias Carolina Zanelatto? [et al.]";IPHAN-SC(408);;;ISBN 9788573342567;;;;;;;;;;;;;;;;;
Ricardo gomes  Brasil  Artesanato  Museus;;"30  p. : il. ; 15 cm. -";Museu de Folclore Edison Carneiro.;(Sala do Artista Popular;Catálogo da exposição realizada no Museu de Folclore Edison Carneiro, de 18 de outubro a 18 de novembro de 2007.;069.0981  S159  138  IPHAN-SC;Rio de Janeiro : CNFCP, Rio de Janeiro : IPHAN, 2007.;"(Sala do Artista Popular ; 138)";Artesão maçariqueiro : a arte do cristal em Blumenau / pesquisa e texto de Ricardo Gomes Lima. -;IPHAN-SC(408);;;;;;ISSN 14143755 (broch.);;;;;;;;;;;;;;
Museus  Brasil.  Artesanato  Brasil -;;"39  p. : il. ; 15 cm. -";Alves, Ana Claudia Lima.  Museu de Folclore Edison Carneiro.;(Sala do Artista Popular;Catálogo da exposição realizada no Rio de Janeiro no período de 03 de abril a 04 de maio, e em Pirenópolis no período de 09 de maio a 08 de junho de 2008.;069.0981  S159  142  IPHAN-SC;Rio de Janeiro : CNFCP, Rio de Janeiro : IPHAN, 2008.;"(Sala do Artista Popular ; 142)";As artes do Divino de Pirenópolis - Goiás : pesquisa e texto de Ana Claudia Lima e Alves. -;IPHAN-SC(408);;;;;;ISSN 14143755 (broch.);;;;;;;;;;;;;;
Brasil.  Proteção  Conservação e restauração  Edifícios históricos  Patrimônio cultural  Monumentos;;350  p. : il.  33 cm. -;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Programa Monumenta (Brasil);(Obras de referência);;720.981  T274a  [3. ed.]. -  IPHAN-SC;Brasília : Iphan, Brasília : Monumenta, 2008.;(Obras de referência);Atlas dos monumentos históricos e artísticos do Brasil / Augusto Carlos da Silva Telles. -;IPHAN-SC(408);Imagem;Telles, Augusto Carlos da Silva,   1923-;ISBN 9788573340846 (enc.);[3. ed.]. -;;;;;;;;;;;;;;;;
Portugal  Brasil.  Azulejos;;110  p. : il.  27 cm.;Alcântara, Dora de, 1931-  Brasilia,;;;738.60981  A997  IPHAN-SC;Rio de Janeiro : Iphan, 1997.;;Azulejos na cultura luso-brasileira  Organização Dora de Alcântara. -;IPHAN-SC(408);Imagem;;ISBN 857334010X (broch.);;;;;;;;;;;;;;;;;
;;119  p. : il. color.  28 cm;Giraldin, Odair  Santos, Antonio Miranda dos.;;;981.17  B112  2016  IPHAN-SC;Palmas : IPHAN/TO, 2016.;;"Babaçu : universo cultural da palmeira  Instituto do Patrimônio Histórico e Artístico Nacional. Superintendência do Iphan no Distrito Federal; organização Antonio Miranda dos Santos, Cejane Pacini Leal Muniz; texto Cejane Pacini Leal Muniz, Odair Giraldin, Valéria M. C. de Melo. ?";IPHAN-SC(408);;;ISBN 9788573342963;;;;;;;;;;;;;;;;;
Arquitetura de igrejas  São joão del rei (mg)  Guias  Arquitetura barroca  Instituto do patrimônio histórico e artístico nacional (brasil)  Tiradentes (mg)  Decoração e ornamento rococós  Decoração e ornamento barrocos  Decoração e ornamento das igrejas  Arquitetura rococó;;2 v. : il.  22 cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Programa Monumenta (Brasil)  Santos, Olinto Rodrigues dos;(Roteiros do patrimônio);Texto em português com tradução paralela em inglês.;726.5098151  O48b  IPHAN-SC;Brasília : IPHAN, Brasília : Monumenta, 2010.;(Roteiros do patrimônio)  8;Barroco e rococó nas igrejas de São João del-Rei e Tiradentes= : baroque and rococo in the churches of São João del-Rei and Tiradentes / Myriam Andrade Ribeiro de Oliveira e Olinto Rodrigues dos Santos. -;IPHAN-SC(408);;Oliveira, Myriam Andrade Ribeiro de,   1943-;;;Baroque and rococo in the churches of Rio de Janeiro.;;;;;;;;;;;;;;;
Arquitetura de igrejas  Arquitetura barroca  Arquitetura rococó  Rio de janeiro (rj)  Decoração e ornamento das igrejas  Guias;;122 p. : il.  22 cm.;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Justiniano, Fátima.  Oliveira, Myriam Andrade Ribeiro de  1943-  Programa Monumenta (Brasil);(Roteiros do patrimônio);Texto em português com tradução paralela em inglês.;726.5098153  O48b  v.2  IPHAN-SC;Brasília : IPHAN, Brasília : Monumenta, 2008.;(Roteiros do patrimônio);Barroco e rococó nas igrejas do Rio de Janeiro =  Myriam Andrade Ribeiro de Oliveira, Fátima Justiniano. -;IPHAN-SC(408);Imagem;;ISBN 9788573340839 (broch.);;Baroque and rococo in the churches of Rio de Janeiro.;;;;;;;;;;;;;;;
Arquitetura rococó  Arquitetura de igrejas  Guias  Decoração e ornamento das igrejas  Arquitetura barroca.  Rio de janeio (rj);;201 p. : il.  22 cm;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil)  Justiniano, Fátima  Oliveira, Myriam Andrade Ribeiro de  1943-  Programa Monumenta;Roteiros do Patrimônio;Texto em português com tradução paralela em inglês.;726.5098153  O48b  v.1  IPHAN-SC;Brasília : Monumenta, Brasília : Iphan, 2008.;(Roteiros do Patrimônio);Barroco e rococó nas igrejas do Rio de Janeiro=  Myriam Andrade Ribeiro de Oliveira, Fátima Justiniano;IPHAN-SC(408);;;ISBN 9788573340839;;Baroque and Rococo in the Churches of Rio de Janeiro;;;;;;;;;;;;;;;
